frozenset({'baking powder'})	of	frozenset({'whole milk'})	: 0.5229885057471264
frozenset({'domestic eggs', 'butter'})	of	frozenset({'whole milk'})	: 0.6210526315789474
frozenset({'rolls/buns', 'frozen vegetables'})	of	frozenset({'whole milk'})	: 0.5
frozenset({'curd', 'tropical fruit'})	of	frozenset({'whole milk'})	: 0.6336633663366337
frozenset({'root vegetables', 'fruit/vegetable juice'})	of	frozenset({'whole milk'})	: 0.5423728813559322
frozenset({'tropical fruit', 'domestic eggs'})	of	frozenset({'whole milk'})	: 0.6071428571428571
frozenset({'root vegetables', 'pastry'})	of	frozenset({'whole milk'})	: 0.5185185185185185
frozenset({'shopping bags', 'root vegetables'})	of	frozenset({'other vegetables'})	: 0.5158730158730159
frozenset({'chicken', 'root vegetables'})	of	frozenset({'other vegetables'})	: 0.5233644859813085
frozenset({'tropical fruit', 'whipped/sour cream'})	of	frozenset({'whole milk'})	: 0.573529411764706
frozenset({'root vegetables', 'butter'})	of	frozenset({'other vegetables'})	: 0.5118110236220472
frozenset({'whipped/sour cream', 'citrus fruit'})	of	frozenset({'whole milk'})	: 0.5794392523364487
frozenset({'newspapers', 'root vegetables'})	of	frozenset({'other vegetables'})	: 0.5221238938053098
frozenset({'whipped/sour cream', 'citrus fruit'})	of	frozenset({'other vegetables'})	: 0.5233644859813085
frozenset({'root vegetables', 'butter'})	of	frozenset({'whole milk'})	: 0.6377952755905512
frozenset({'margarine', 'rolls/buns'})	of	frozenset({'whole milk'})	: 0.5379310344827587
frozenset({'root vegetables', 'citrus fruit'})	of	frozenset({'whole milk'})	: 0.5172413793103449
frozenset({'whipped/sour cream', 'other vegetables'})	of	frozenset({'whole milk'})	: 0.5070422535211268
frozenset({'frankfurter', 'root vegetables'})	of	frozenset({'whole milk'})	: 0.5
frozenset({'newspapers', 'root vegetables'})	of	frozenset({'whole milk'})	: 0.504424778761062
frozenset({'domestic eggs', 'whipped/sour cream'})	of	frozenset({'other vegetables'})	: 0.5102040816326531
frozenset({'hygiene articles', 'other vegetables'})	of	frozenset({'whole milk'})	: 0.5425531914893618
frozenset({'yogurt', 'tropical fruit'})	of	frozenset({'whole milk'})	: 0.517361111111111
frozenset({'tropical fruit', 'brown bread'})	of	frozenset({'whole milk'})	: 0.5333333333333333
frozenset({'domestic eggs', 'citrus fruit'})	of	frozenset({'whole milk'})	: 0.5490196078431373
frozenset({'tropical fruit', 'pastry'})	of	frozenset({'whole milk'})	: 0.5076923076923077
frozenset({'root vegetables', 'pip fruit'})	of	frozenset({'whole milk'})	: 0.5751633986928104
frozenset({'frankfurter', 'tropical fruit'})	of	frozenset({'whole milk'})	: 0.5483870967741935
frozenset({'root vegetables', 'pastry'})	of	frozenset({'other vegetables'})	: 0.537037037037037
frozenset({'root vegetables', 'frozen vegetables'})	of	frozenset({'other vegetables'})	: 0.5263157894736842
frozenset({'sausage', 'whipped/sour cream'})	of	frozenset({'whole milk'})	: 0.5617977528089887
frozenset({'yogurt', 'frankfurter'})	of	frozenset({'whole milk'})	: 0.5545454545454546
frozenset({'curd', 'tropical fruit'})	of	frozenset({'other vegetables'})	: 0.5148514851485149
frozenset({'domestic eggs', 'margarine'})	of	frozenset({'whole milk'})	: 0.6219512195121952
frozenset({'domestic eggs', 'other vegetables'})	of	frozenset({'whole milk'})	: 0.5525114155251142
frozenset({'yogurt', 'pastry'})	of	frozenset({'whole milk'})	: 0.5172413793103449
frozenset({'root vegetables', 'rolls/buns'})	of	frozenset({'other vegetables'})	: 0.502092050209205
frozenset({'domestic eggs', 'whipped/sour cream'})	of	frozenset({'whole milk'})	: 0.5714285714285715
frozenset({'yogurt', 'fruit/vegetable juice'})	of	frozenset({'whole milk'})	: 0.5054347826086957
frozenset({'curd', 'tropical fruit'})	of	frozenset({'yogurt'})	: 0.5148514851485149
frozenset({'tropical fruit', 'whipped/sour cream'})	of	frozenset({'other vegetables'})	: 0.5661764705882353
frozenset({'yogurt', 'curd'})	of	frozenset({'whole milk'})	: 0.5823529411764706
frozenset({'coffee', 'yogurt'})	of	frozenset({'whole milk'})	: 0.5208333333333333
frozenset({'whole milk', 'onions'})	of	frozenset({'other vegetables'})	: 0.546218487394958
frozenset({'yogurt', 'pip fruit'})	of	frozenset({'whole milk'})	: 0.5310734463276836
frozenset({'curd', 'whipped/sour cream'})	of	frozenset({'whole milk'})	: 0.5631067961165048
frozenset({'other vegetables', 'frozen vegetables'})	of	frozenset({'whole milk'})	: 0.5428571428571428
frozenset({'chicken', 'rolls/buns'})	of	frozenset({'whole milk'})	: 0.5473684210526316
frozenset({'root vegetables', 'pip fruit'})	of	frozenset({'other vegetables'})	: 0.5228758169934641
frozenset({'other vegetables', 'oil'})	of	frozenset({'whole milk'})	: 0.5102040816326531
frozenset({'tropical fruit', 'butter'})	of	frozenset({'other vegetables'})	: 0.5510204081632654
frozenset({'root vegetables', 'whipped/sour cream'})	of	frozenset({'other vegetables'})	: 0.5
frozenset({'citrus fruit', 'butter'})	of	frozenset({'whole milk'})	: 0.5555555555555555
frozenset({'bottled water', 'butter'})	of	frozenset({'whole milk'})	: 0.6022727272727273
frozenset({'root vegetables', 'rolls/buns'})	of	frozenset({'whole milk'})	: 0.5230125523012552
frozenset({'tropical fruit', 'sausage'})	of	frozenset({'whole milk'})	: 0.5182481751824818
frozenset({'yogurt', 'root vegetables'})	of	frozenset({'other vegetables'})	: 0.5
frozenset({'yogurt', 'cream cheese '})	of	frozenset({'whole milk'})	: 0.5327868852459017
frozenset({'yogurt', 'other vegetables'})	of	frozenset({'whole milk'})	: 0.5128805620608898
frozenset({'yogurt', 'whipped/sour cream'})	of	frozenset({'whole milk'})	: 0.5245098039215685
frozenset({'curd', 'rolls/buns'})	of	frozenset({'whole milk'})	: 0.5858585858585859
frozenset({'yogurt', 'domestic eggs'})	of	frozenset({'whole milk'})	: 0.5390070921985816
frozenset({'yogurt', 'beef'})	of	frozenset({'whole milk'})	: 0.5217391304347826
frozenset({'whipped/sour cream', 'pip fruit'})	of	frozenset({'other vegetables'})	: 0.6043956043956045
frozenset({'root vegetables', 'citrus fruit'})	of	frozenset({'other vegetables'})	: 0.5862068965517241
frozenset({'other vegetables', 'butter'})	of	frozenset({'whole milk'})	: 0.5736040609137055
frozenset({'margarine', 'root vegetables'})	of	frozenset({'other vegetables'})	: 0.5321100917431192
frozenset({'root vegetables', 'pork'})	of	frozenset({'other vegetables'})	: 0.5149253731343284
frozenset({'other vegetables', 'pip fruit'})	of	frozenset({'whole milk'})	: 0.5175097276264592
frozenset({'long life bakery product', 'other vegetables'})	of	frozenset({'whole milk'})	: 0.5333333333333333
frozenset({'whipped/sour cream', 'pip fruit'})	of	frozenset({'whole milk'})	: 0.6483516483516485
frozenset({'sugar', 'other vegetables'})	of	frozenset({'whole milk'})	: 0.5849056603773586
frozenset({'whipped/sour cream', 'rolls/buns'})	of	frozenset({'whole milk'})	: 0.5347222222222222
frozenset({'domestic eggs', 'pip fruit'})	of	frozenset({'whole milk'})	: 0.6235294117647059
frozenset({'root vegetables', 'fruit/vegetable juice'})	of	frozenset({'other vegetables'})	: 0.5508474576271186
frozenset({'curd', 'other vegetables'})	of	frozenset({'whole milk'})	: 0.5739644970414202
frozenset({'domestic eggs', 'root vegetables'})	of	frozenset({'whole milk'})	: 0.5957446808510639
frozenset({'yogurt', 'bottled beer'})	of	frozenset({'whole milk'})	: 0.5604395604395604
frozenset({'brown bread', 'root vegetables'})	of	frozenset({'whole milk'})	: 0.56
frozenset({'sausage', 'pip fruit'})	of	frozenset({'whole milk'})	: 0.5188679245283019
frozenset({'domestic eggs', 'root vegetables'})	of	frozenset({'other vegetables'})	: 0.5106382978723404
frozenset({'curd', 'root vegetables'})	of	frozenset({'whole milk'})	: 0.5700934579439252
frozenset({'curd', 'root vegetables'})	of	frozenset({'other vegetables'})	: 0.5046728971962617
frozenset({'brown bread', 'other vegetables'})	of	frozenset({'whole milk'})	: 0.5
frozenset({'tropical fruit', 'root vegetables'})	of	frozenset({'whole milk'})	: 0.570048309178744
frozenset({'whipped/sour cream', 'butter'})	of	frozenset({'whole milk'})	: 0.66
frozenset({'chicken', 'root vegetables'})	of	frozenset({'whole milk'})	: 0.5514018691588786
frozenset({'tropical fruit', 'butter'})	of	frozenset({'whole milk'})	: 0.6224489795918368
frozenset({'beef', 'rolls/buns'})	of	frozenset({'whole milk'})	: 0.5
frozenset({'sausage', 'root vegetables'})	of	frozenset({'whole milk'})	: 0.5170068027210885
frozenset({'yogurt', 'butter'})	of	frozenset({'whole milk'})	: 0.6388888888888888
frozenset({'yogurt', 'root vegetables'})	of	frozenset({'whole milk'})	: 0.562992125984252
frozenset({'root vegetables', 'pork'})	of	frozenset({'whole milk'})	: 0.5
frozenset({'root vegetables', 'whipped/sour cream'})	of	frozenset({'whole milk'})	: 0.5535714285714286
frozenset({'tropical fruit', 'root vegetables'})	of	frozenset({'other vegetables'})	: 0.5845410628019324
